comment,category
This reminded me of my childhood.,Emotional
You're terrible at this. Give up already.,Hate
You have no talent. Stop wasting our time.,Hate
What's your upload schedule?,Question
Promoting my new business! Check it out!,Spam
Stay authentic! That's your strength.,Support
You're talentless. This is unwatchable.,Hate
Do you offer any courses?,Question
Keep creating! Your voice matters.,Support
Subscribe to my channel and I'll sub back!,Spam
Outstanding quality! You're so talented.,Praise
Take this down or I'm reporting your account.,Threat
"I appreciate the effort, but the audio quality is low.",Constructive Criticism
I felt every word of this.,Emotional
What camera do you use?,Question
Check out my latest post! Link in bio!,Spam
Could you make a behind-the-scenes video?,Question
Never give up! Success is coming.,Support
Terrible content. You should be ashamed.,Hate
You inspire us! Keep it up.,Support
Masterpiece! You nailed it.,Praise
You better stop or face consequences.,Threat
This is stupid. Total waste of space.,Hate
This is horrible. Delete your account.,Hate
What software did you use for this?,Question
Can you explain your process?,Question
Trash content from a trash creator.,Hate
Love this so much! Great job!,Praise
Fantastic! You're a genius.,Praise
"I like it, but the background music is too loud.",Constructive Criticism
First person to follow gets a shoutout!,Spam
I'm overwhelmed with emotions watching this.,Emotional
Perfection! This is what I needed.,Praise
"I like the direction, but it needs more examples.",Constructive Criticism
Can you make one on topic X?,Question
This is so relatable it hurts.,Emotional
Drop a follow and I'll follow back!,Spam
How did you learn this skill?,Question
"Solid effort, but the thumbnail could be better.",Constructive Criticism
"The idea is great, but the editing feels rushed.",Constructive Criticism
I'm contacting your sponsors about this.,Threat
The animation was okay but the voiceover felt off.,Constructive Criticism
Do you have a Discord server?,Question
"The message is clear, but the visuals are distracting.",Constructive Criticism
Keep learning! You're improving fast.,Support
Awful. You have zero skills.,Hate
Brilliant creation! Hats off to you.,Praise
"Interesting content, but it's a bit too long.",Constructive Criticism
Shoutout for shoutout? Anyone?,Spam
How much does equipment like this cost?,Question
I needed to see this today. Thank you.,Emotional
Keep shining! The world needs your content.,Support
Click here for exclusive content!,Spam
Can I use this in my project?,Question
This is incredible! Best content I've seen today.,Praise
"Nice concept, however the execution needs work.",Constructive Criticism
Visit my profile for amazing deals!,Spam
This made me tear up. So powerful.,Emotional
Want free followers? DM me now!,Spam
Watch your back. I know where you are.,Threat
Atrocious work. Stop now.,Hate
You better watch what you post.,Threat
This is the worst. Pure cringe.,Hate
"Good message, but the format is a bit confusing.",Constructive Criticism
I'm crying. This hit me so hard.,Emotional
Where can I find more content like this?,Question
Magnificent! You outdid yourself.,Praise
Can you do a collaboration?,Question
"Good attempt, but the voiceover lacks energy.",Constructive Criticism
You'll regret posting this.,Threat
This is art! So well done.,Praise
Embarrassing. You should quit.,Hate
What's your editing workflow?,Question
I'm going to sue you for this.,Threat
